Label,Estimate,Margin of Error
    Workers 16 years and over,"43,862","±5,538"
"        Car, truck, or van - drove alone",63.9%,±4.6
"        Car, truck, or van - carpooled",12.8%,±3.0
        Public transportation (excluding taxicab),14.1%,±2.5
        Walked,4.6%,±1.9
        Other means,2.1%,±1.1
        Worked at home,2.5%,±1.2
        Mean travel time to work (minutes),31.5,±1.6
