Label,Estimate,Margin of Error
    Occupied housing units,"22,226","±1,886"
        Built 2010 or later,1.1%,±0.9
        Built 2000 to 2009,11.9%,±3.8
        Built 1980 to 1999,14.3%,±4.6
        Built 1960 to 1979,25.6%,±4.0
        Built 1940 to 1959,20.3%,±3.6
        Built 1939 or earlier,26.9%,±4.7
