Label,Estimate,Margin of Error
    Women 15 to 50 years,"23,059","±3,076"
        Women 15 to 50 years who had a birth in the past 12 months,636,±326
            Unmarried women 15 to 50 years who had a birth in the past 12 months,262,±237
                As a percent of all women with a birth in the past 12 months,41.2%,±25.6
