Label,Estimate,Margin of Error
    Occupied housing units,"22,226","±1,886"
        Gas,86.0%,±3.0
        Electricity,13.4%,±2.9
        All other fuels,0.0%,±0.6
        No fuel used,0.6%,±0.7
