Label,Estimate,Margin of Error
    Occupied housing units,"22,226","±1,886"
"        1-unit, detached or attached",46.9%,±4.8
        2 to 4 units,17.9%,±3.5
        5 or more units,34.7%,±4.7
"        Mobile home, boat, RV, van, etc.",0.5%,±0.5
