Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,375","±5,567"
        Private wage and salary workers,90.2%,±2.3
        Government workers,6.3%,±1.5
        Self-employed workers in own not incorporated business,3.5%,±1.4
        Unpaid family workers,0.0%,±0.3
