Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"21,504","±3,512"
"        Nursery school, preschool",5.2%,±2.7
        Kindergarten,3.2%,±1.9
        Elementary school (grades 1-8),35.0%,±6.2
        High school (grades 9-12),17.1%,±3.1
        College or graduate school,39.5%,±5.9
    Male 3 years and over enrolled in school,"10,531","±2,041"
        Percent enrolled in kindergarten to grade 12,59.1%,±8.1
        Percent enrolled in college or graduate school,34.5%,±7.8
    Female 3 years and over enrolled in school,"10,973","±1,934"
        Percent enrolled in kindergarten to grade 12,51.7%,±7.6
        Percent enrolled in college or graduate school,44.3%,±7.7
