Label,Estimate,Margin of Error
    Owner-occupied housing units,"14,641","±1,643"
        Median value (dollars),"257,700","±17,843"
        Median selected monthly owner costs with a mortgage (dollars),"2,228",±111
        Median selected monthly owner costs without a mortgage (dollars),741,±87
