Label,Estimate,Margin of Error
    Occupied housing units,"25,286","±2,393"
        Gas,79.7%,±4.1
        Electricity,18.5%,±3.9
        All other fuels,1.0%,±0.8
        No fuel used,0.9%,±0.8
