Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"47,110","±3,947"
"        Management, business, science, and arts occupations",52.5%,±4.5
        Service occupations,17.3%,±3.2
        Sales and office occupations,22.1%,±3.4
"        Natural resources, construction, and maintenance occupations",1.6%,±0.9
"        Production, transportation, and material moving occupations",6.6%,±1.6
    Male civilian employed population 16 years and over,"20,686","±2,266"
"        Management, business, science, and arts occupations",49.1%,±6.4
        Service occupations,16.1%,±4.1
        Sales and office occupations,20.2%,±4.8
"        Natural resources, construction, and maintenance occupations",2.4%,±1.4
"        Production, transportation, and material moving occupations",12.3%,±3.1
    Female civilian employed population 16 years and over,"26,424","±2,517"
"        Management, business, science, and arts occupations",55.1%,±5.0
        Service occupations,18.2%,±3.8
        Sales and office occupations,23.7%,±4.2
"        Natural resources, construction, and maintenance occupations",0.9%,±1.1
"        Production, transportation, and material moving occupations",2.1%,±1.5
