Label,Estimate,Margin of Error
    Workers 16 years and over,"46,327","±3,903"
"        Car, truck, or van - drove alone",62.6%,±4.5
"        Car, truck, or van - carpooled",11.8%,±2.9
        Public transportation (excluding taxicab),14.5%,±2.8
        Walked,5.7%,±2.8
        Other means,1.9%,±1.0
        Worked at home,3.5%,±1.5
        Mean travel time to work (minutes),30.6,±1.6
