Label,Estimate,Margin of Error
    Foreign-born population excluding population born at sea,"47,905","±4,727"
        Europe,N,N
        Asia,N,N
        Africa,N,N
        Oceania,N,N
        Latin America,N,N
        Northern America,N,N
