Label,Estimate,Margin of Error
    Occupied housing units,"25,286","±2,393"
        Built 2014 or later,0.5%,±0.6
        Built 2010 to 2013,0.6%,±0.5
        Built 2000 to 2009,17.0%,±5.8
        Built 1980 to 1999,16.8%,±3.9
        Built 1960 to 1979,23.7%,±3.7
        Built 1940 to 1959,18.7%,±4.0
        Built 1939 or earlier,22.6%,±4.2
