Label,Estimate,Margin of Error
    Owner-occupied housing units,"14,902","±1,676"
        Median value (dollars),"267,200","±28,303"
        Median selected monthly owner costs with a mortgage (dollars),"2,035",±142
        Median selected monthly owner costs without a mortgage (dollars),853,±67
