Label,Estimate,Margin of Error
    Occupied housing units,"25,286","±2,393"
"        1-unit, detached or attached",45.7%,±5.0
        2 to 4 units,16.1%,±3.8
        5 or more units,37.6%,±6.0
"        Mobile home, boat, RV, van, etc.",0.6%,±0.6
