Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"20,611","±3,207"
"    Nursery school, preschool",8.0%,±3.0
    Kindergarten,1.9%,±1.6
    Elementary school (grades 1-8),37.4%,±7.0
    High school (grades 9-12),12.5%,±3.9
    College or graduate school,40.2%,±7.5
    Male 3 years and over enrolled in school,"9,938","±1,892"
    Percent enrolled in kindergarten to grade 12,46.0%,±9.2
    Percent enrolled in college or graduate school,43.7%,±10.4
        Female 3 years and over enrolled in school,"10,673","±2,234"
    Percent enrolled in kindergarten to grade 12,57.2%,±8.4
    Percent enrolled in college or graduate school,36.9%,±8.5
