Label,Estimate,Margin of Error
    Occupied housing units,"22,701","±2,550"
    Gas,81.0%,±5.3
    Electricity,18.9%,±5.3
    All other fuels,0.1%,±0.2
    No fuel used,0.0%,±0.6
