Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,837","±4,342"
    Private wage and salary workers,87.6%,±2.6
    Government workers,8.0%,±2.0
    Self-employed workers in own not incorporated business,4.2%,±1.9
    Unpaid family workers,0.2%,±0.3
