Label,Estimate,Margin of Error
    Workers 16 years and over,"42,933","±4,326"
"    Car, truck, or van - drove alone",66.4%,±4.1
"    Car, truck, or van - carpooled",9.5%,±2.7
    Public transportation (excluding taxicab),15.9%,±3.2
    Walked,4.4%,±1.8
    Other means,1.2%,±0.7
    Worked at home,2.7%,±1.3
    Mean travel time to work (minutes),30.6,±2.0
