Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,837","±4,342"
"    Management, business, science, and arts occupations",50.4%,±5.1
    Service occupations,22.7%,±4.3
    Sales and office occupations,16.8%,±3.7
"    Natural resources, construction, and maintenance occupations",1.9%,±1.1
"    Production, transportation, and material moving occupations",8.3%,±2.3
    Male civilian employed population 16 years and over,"18,501","±2,322"
"    Management, business, science, and arts occupations",42.6%,±6.9
    Service occupations,17.5%,±6.0
    Sales and office occupations,20.2%,±5.3
"    Natural resources, construction, and maintenance occupations",3.8%,±2.4
"    Production, transportation, and material moving occupations",16.0%,±4.5
    Female civilian employed population 16 years and over,"25,336","±2,638"
"    Management, business, science, and arts occupations",56.0%,±5.8
    Service occupations,26.6%,±5.0
    Sales and office occupations,14.2%,±3.8
"    Natural resources, construction, and maintenance occupations",0.5%,±0.6
"    Production, transportation, and material moving occupations",2.7%,±1.9
