Label,Estimate,Margin of Error
    Occupied housing units,"22,701","±2,550"
"    1-unit, detached or attached",46.2%,±4.6
    2 to 4 units,17.3%,±3.9
    5 or more units,36.5%,±5.4
"    Mobile home, boat, RV, van, etc.",0.0%,±0.6
