Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,837","±4,342"
"    Agriculture, forestry, fishing and hunting, and mining",0.2%,±0.3
    Construction,0.7%,±0.7
    Manufacturing,7.9%,±2.3
    Wholesale trade,1.5%,±1.1
    Retail trade,8.3%,±2.2
"    Transportation and warehousing, and utilities",3.6%,±1.7
    Information,1.7%,±1.2
"    Finance and insurance, and real estate and rental and leasing",6.5%,±2.5
"    Professional, scientific, and management, and administrative and waste management services",7.9%,±2.4
"    Educational services, and health care and social assistance",46.8%,±5.1
"    Arts, entertainment, and recreation, and accommodation and food services",8.5%,±3.1
    Other services (except public administration),4.3%,±2.1
    Public administration,2.2%,±1.0
