Label,Estimate,Margin of Error
    Occupied housing units,"22,701","±2,550"
    Built 2000 or later,11.6%,±3.5
    Built 1990 to 1999,10.2%,±3.6
    Built 1980 to 1989,9.6%,±2.9
    Built 1960 to 1979,25.2%,±5.0
    Built 1940 to 1959,26.0%,±4.4
    Built 1939 or earlier,17.4%,±4.3
