Label,Estimate,Margin of Error
    Owner-occupied housing units,"13,358","±1,573"
    Median value (dollars),"270,300","±21,154"
    Median selected monthly owner costs with a mortgage (dollars),"2,238",±112
    Median selected monthly owner costs without a mortgage (dollars),713,±191
