Label,Estimate,Margin of Error
    Occupied housing units,"26,642","±2,276"
        Built 2014 or later,2.3%,±1.3
        Built 2010 to 2013,1.8%,±1.5
        Built 2000 to 2009,9.6%,±2.9
        Built 1980 to 1999,19.6%,±3.6
        Built 1960 to 1979,23.8%,±4.4
        Built 1940 to 1959,20.9%,±4.3
        Built 1939 or earlier,22.0%,±3.9
