Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,820","±5,031"
        Private wage and salary workers,87.4%,±3.1
        Government workers,6.8%,±1.8
        Self-employed workers in own not incorporated business,5.6%,±2.5
        Unpaid family workers,0.2%,±0.2
