Label,Estimate,Margin of Error
    Owner-occupied housing units,"16,448","±1,787"
        Median value (dollars),"286,000","±17,242"
        Median selected monthly owner costs with a mortgage (dollars),"2,054",±151
        Median selected monthly owner costs without a mortgage (dollars),837,±119
