Label,Estimate,Margin of Error
    Workers 16 years and over,"49,804","±4,957"
"        Car, truck, or van - drove alone",58.7%,±4.2
"        Car, truck, or van - carpooled",14.6%,±3.2
        Public transportation (excluding taxicab),17.7%,±4.0
        Walked,3.5%,±1.9
        Other means,1.3%,±0.7
        Worked from home,4.3%,±1.5
        Mean travel time to work (minutes),31.9,±1.7
