Label,Estimate,Margin of Error
    Population 30 years and over,"58,764","±5,707"
        Grandparents living with grandchild(ren),6.8%,±2.0
            Grandparents responsible for grandchildren as a percentage of living with grandchildren,15.6%,±11.0
