Label,Estimate,Margin of Error
    Occupied housing units,"26,642","±2,276"
        Gas,81.7%,±4.5
        Electricity,16.7%,±4.6
        All other fuels,1.0%,±1.0
        No fuel used,0.6%,±0.7
