Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,820","±5,031"
"        Management, business, science, and arts occupations",53.7%,±4.1
        Service occupations,18.4%,±3.2
        Sales and office occupations,15.7%,±2.3
"        Natural resources, construction, and maintenance occupations",2.8%,±1.2
"        Production, transportation, and material moving occupations",9.5%,±2.4
    Male civilian employed population 16 years and over,"23,613","±2,762"
"        Management, business, science, and arts occupations",51.6%,±5.8
        Service occupations,16.3%,±4.2
        Sales and office occupations,13.3%,±3.0
"        Natural resources, construction, and maintenance occupations",5.6%,±2.3
"        Production, transportation, and material moving occupations",13.1%,±4.2
    Female civilian employed population 16 years and over,"27,207","±3,091"
"        Management, business, science, and arts occupations",55.6%,±5.5
        Service occupations,20.2%,±4.5
        Sales and office occupations,17.7%,±3.3
"        Natural resources, construction, and maintenance occupations",0.3%,±0.5
"        Production, transportation, and material moving occupations",6.3%,±2.4
