Label,Estimate,Margin of Error
    Population 16 years and over,"73,477","±7,176"
        In labor force,70.8%,±3.2
            Civilian labor force,70.4%,±3.2
                Employed,69.2%,±3.4
                Unemployed,1.2%,±0.6
                    Unemployment Rate,1.7%,±0.8
            Armed Forces,0.4%,±0.4
        Not in labor force,29.2%,±3.2
    Females 16 years and over,"40,364","±4,105"
        In labor force,68.7%,±3.6
            Civilian labor force,68.4%,±3.6
                Employed,67.4%,±3.8
                Unemployed,1.0%,±0.9
                    Unemployment Rate,1.5%,±1.4
