Label,Estimate,Margin of Error
    Occupied housing units,"26,642","±2,276"
"        1-unit, detached or attached",48.5%,±4.3
        2 to 4 units,18.0%,±3.8
        5 or more units,33.6%,±4.8
"        Mobile home, boat, RV, van, etc.",0.0%,±0.6
