Label,Estimate,Margin of Error
    Occupied housing units,"23,580","±1,981"
"        1-unit, detached or attached",46.8%,±4.5
        2 to 4 units,20.8%,±4.1
        5 or more units,31.8%,±5.0
"        Mobile home, boat, RV, van, etc.",0.6%,±0.8
