Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"42,935","±3,960"
"        Management, business, science, and arts occupations",53.6%,±4.1
        Service occupations,20.3%,±3.4
        Sales and office occupations,19.4%,±2.6
"        Natural resources, construction, and maintenance occupations",1.5%,±0.8
"        Production, transportation, and material moving occupations",5.2%,±1.4
    Male civilian employed population 16 years and over,"18,894","±2,327"
"        Management, business, science, and arts occupations",50.0%,±6.2
        Service occupations,18.7%,±4.3
        Sales and office occupations,18.7%,±4.3
"        Natural resources, construction, and maintenance occupations",3.4%,±2.0
"        Production, transportation, and material moving occupations",9.2%,±2.7
    Female civilian employed population 16 years and over,"24,041","±2,328"
"        Management, business, science, and arts occupations",56.3%,±5.2
        Service occupations,21.6%,±5.0
        Sales and office occupations,19.9%,±3.7
"        Natural resources, construction, and maintenance occupations",0.0%,±0.6
"        Production, transportation, and material moving occupations",2.1%,±1.6
