Label,Estimate,Margin of Error
    Occupied housing units,"23,580","±1,981"
        Gas,83.8%,±3.5
        Electricity,13.5%,±3.1
        All other fuels,0.6%,±0.6
        No fuel used,2.1%,±1.4
