Label,Estimate,Margin of Error
    Population 30 years and over,"48,665","±4,611"
        Grandparents living with grandchild(ren),6.1%,±1.9
            Grandparents responsible for grandchildren as a percentage of living with grandchildren,19.7%,±12.1
