Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"42,935","±3,960"
        Private wage and salary workers,87.7%,±2.5
        Government workers,7.0%,±1.9
        Self-employed workers in own not incorporated business,5.0%,±1.6
        Unpaid family workers,0.4%,±0.4
