Label,Estimate,Margin of Error
    Occupied housing units,"23,580","±1,981"
        Built 2014 or later,1.0%,±0.8
        Built 2010 to 2013,1.1%,±0.8
        Built 2000 to 2009,9.1%,±3.1
        Built 1980 to 1999,12.7%,±3.0
        Built 1960 to 1979,29.5%,±4.7
        Built 1940 to 1959,26.9%,±4.0
        Built 1939 or earlier,19.7%,±3.9
