Label,Estimate,Margin of Error
    Population 16 years and over,"62,397","±5,709"
        In labor force,71.2%,±2.9
            Civilian labor force,71.2%,±2.9
                Employed,68.8%,±2.9
                Unemployed,2.4%,±0.8
                    Unemployment Rate,3.4%,±1.1
            Armed Forces,0.0%,±0.2
        Not in labor force,28.8%,±2.9
    Females 16 years and over,"34,920","±3,172"
        In labor force,71.5%,±3.5
            Civilian labor force,71.5%,±3.5
                Employed,68.8%,±3.4
                Unemployed,2.6%,±1.1
                    Unemployment Rate,3.7%,±1.5
