Label,Estimate,Margin of Error
    Workers 16 years and over,"42,298","±3,891"
"        Car, truck, or van - drove alone",63.0%,±4.6
"        Car, truck, or van - carpooled",10.9%,±2.5
        Public transportation (excluding taxicab),15.0%,±3.2
        Walked,2.4%,±1.0
        Other means,4.4%,±2.2
        Worked at home,4.3%,±1.7
        Mean travel time to work (minutes),32.5,±1.8
