Label,Estimate,Margin of Error
    Owner-occupied housing units,"13,595","±1,413"
        Median value (dollars),"279,700","±15,266"
        Median selected monthly owner costs with a mortgage (dollars),"2,048",±151
        Median selected monthly owner costs without a mortgage (dollars),757,±50
