Label,Estimate,Margin of Error
    Population 1 year and over,"74,502","±6,938"
        Same house,86.2%,±3.2
        Different house in the U.S.,12.0%,±2.9
            Same county,10.7%,±2.8
            Different county,1.3%,±0.7
                Same state,0.7%,±0.5
                Different state,0.6%,±0.5
        Abroad,1.8%,±1.0
