Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"45,672","±5,139"
"        Management, business, science, and arts occupations",50.8%,±4.7
        Service occupations,19.3%,±4.0
        Sales and office occupations,20.4%,±3.9
"        Natural resources, construction, and maintenance occupations",1.8%,±1.2
"        Production, transportation, and material moving occupations",7.6%,±2.1
    Male civilian employed population 16 years and over,"21,298","±3,156"
"        Management, business, science, and arts occupations",42.7%,±6.5
        Service occupations,16.4%,±4.8
        Sales and office occupations,23.3%,±6.7
"        Natural resources, construction, and maintenance occupations",3.5%,±2.5
"        Production, transportation, and material moving occupations",14.1%,±3.8
    Female civilian employed population 16 years and over,"24,374","±2,830"
"        Management, business, science, and arts occupations",57.9%,±7.1
        Service occupations,21.9%,±5.3
        Sales and office occupations,17.9%,±4.5
"        Natural resources, construction, and maintenance occupations",0.4%,±0.6
"        Production, transportation, and material moving occupations",2.0%,±1.5
