Label,Estimate,Margin of Error
    Occupied housing units,"26,139","±2,447"
        Built 2014 or later,0.9%,±0.6
        Built 2010 to 2013,0.9%,±0.7
        Built 2000 to 2009,12.8%,±3.9
        Built 1980 to 1999,13.2%,±3.3
        Built 1960 to 1979,28.3%,±4.4
        Built 1940 to 1959,23.8%,±4.2
        Built 1939 or earlier,20.0%,±2.9
