Label,Estimate,Margin of Error
    Population 16 years and over,"67,466","±6,736"
        In labor force,70.3%,±2.8
            Civilian labor force,70.0%,±2.9
                Employed,67.7%,±2.8
                Unemployed,2.3%,±1.0
                    Unemployment Rate,3.3%,±1.4
            Armed Forces,0.3%,±0.3
        Not in labor force,29.7%,±2.8
    Females 16 years and over,"38,899","±3,786"
        In labor force,65.2%,±3.6
            Civilian labor force,65.2%,±3.6
                Employed,62.7%,±3.8
                Unemployed,2.5%,±1.2
                    Unemployment Rate,3.8%,±1.9
