Label,Estimate,Margin of Error
    Occupied housing units,"26,139","±2,447"
        Gas,85.2%,±3.1
        Electricity,14.1%,±3.0
        All other fuels,0.4%,±0.5
        No fuel used,0.2%,±0.4
