Label,Estimate,Margin of Error
    Workers 16 years and over,"45,336","±5,103"
"        Car, truck, or van - drove alone",63.6%,±5.6
"        Car, truck, or van - carpooled",11.6%,±3.4
        Public transportation (excluding taxicab),16.5%,±4.1
        Walked,3.7%,±1.5
        Other means,2.5%,±1.4
        Worked at home,2.1%,±1.1
        Mean travel time to work (minutes),35.3,±2.1
