Label,Estimate,Margin of Error
    Population 30 years and over,"55,166","±6,036"
        Grandparents living with grandchild(ren),6.3%,±3.2
            Grandparents responsible for grandchildren as a percentage of living with grandchildren,15.1%,±14.0
