Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"45,672","±5,139"
        Private wage and salary workers,84.8%,±2.5
        Government workers,10.9%,±2.4
        Self-employed workers in own not incorporated business,3.7%,±1.4
        Unpaid family workers,0.7%,±0.7
