Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"45,672","±5,139"
"        Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.3
        Construction,0.7%,±0.6
        Manufacturing,5.6%,±1.9
        Wholesale trade,1.5%,±0.8
        Retail trade,10.7%,±3.2
"        Transportation and warehousing, and utilities",5.2%,±1.8
        Information,1.5%,±0.8
"        Finance and insurance, and real estate and rental and leasing",6.5%,±2.1
"        Professional, scientific, and management, and administrative and waste management services",8.9%,±2.3
"        Educational services, and health care and social assistance",43.6%,±3.7
"        Arts, entertainment, and recreation, and accommodation and food services",4.6%,±1.6
        Other services (except public administration),7.9%,±3.6
        Public administration,3.2%,±1.6
