Label,Estimate,Margin of Error
    Occupied housing units,"26,139","±2,447"
"        1-unit, detached or attached",49.3%,±4.9
        2 to 4 units,17.5%,±4.0
        5 or more units,33.0%,±4.2
"        Mobile home, boat, RV, van, etc.",0.2%,±0.4
