Label,Estimate,Margin of Error
    Owner-occupied housing units,"15,362","±1,706"
        Median value (dollars),"284,200","±24,065"
        Median selected monthly owner costs with a mortgage (dollars),"2,056",±154
        Median selected monthly owner costs without a mortgage (dollars),804,±64
