Label,Estimate,Margin of Error
    Women 15 to 50 years,"21,032","±2,277"
        Women 15 to 50 years who had a birth in the past 12 months,"1,472",±639
            Unmarried women 15 to 50 years who had a birth in the past 12 months,N,N
                As a percent of all women with a birth in the past 12 months,21.5%,±19.0
