Label,Estimate,Margin of Error
    Owner-occupied housing units,"18,285","±2,150"
        Median value (dollars),"296,200","±19,182"
        Median selected monthly owner costs with a mortgage (dollars),"2,072",±106
        Median selected monthly owner costs without a mortgage (dollars),797,±61
