Label,Estimate,Margin of Error
    Occupied housing units,"28,119","±2,651"
"        1-unit, detached or attached",50.5%,±4.5
        2 to 4 units,14.4%,±3.6
        5 or more units,34.8%,±4.7
"        Mobile home, boat, RV, van, etc.",0.2%,±0.3
