Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"49,218","±4,816"
"        Management, business, science, and arts occupations",53.4%,±4.7
        Service occupations,20.7%,±4.3
        Sales and office occupations,18.8%,±3.2
"        Natural resources, construction, and maintenance occupations",1%,±0.8
"        Production, transportation, and material moving occupations",6.1%,±1.8
    Male civilian employed population 16 years and over,"20,578","±2,434"
"        Management, business, science, and arts occupations",50.1%,±5
        Service occupations,18.5%,±4.8
        Sales and office occupations,17.6%,±4.7
"        Natural resources, construction, and maintenance occupations",2.4%,±1.9
"        Production, transportation, and material moving occupations",11.4%,±3.7
    Female civilian employed population 16 years and over,"28,640","±3,079"
"        Management, business, science, and arts occupations",55.7%,±6.3
        Service occupations,22.3%,±5.6
        Sales and office occupations,19.7%,±3.7
"        Natural resources, construction, and maintenance occupations",0%,±0.5
"        Production, transportation, and material moving occupations",2.3%,±1.6
