Label,Estimate,Margin of Error
    Population 16 years and over,"72,760","±6,170"
        In labor force,69.7%,±3.3
            Civilian labor force,69.7%,±3.3
                Employed,67.6%,±3.2
                Unemployed,2.1%,±0.7
                    Unemployment Rate,3%,±1
            Armed Forces,0%,±0.1
        Not in labor force,30.3%,±3.3
    Females 16 years and over,"42,701","±3,720"
        In labor force,68.9%,±3.7
            Civilian labor force,68.9%,±3.7
                Employed,67.1%,±3.6
                Unemployed,1.8%,±0.9
                    Unemployment Rate,2.7%,±1.3
