Label,Estimate,Margin of Error
    Occupied housing units,"28,119","±2,651"
        Gas,83.9%,±3.9
        Electricity,14.9%,±3.9
        All other fuels,0.4%,±0.5
        No fuel used,0.8%,±0.8
