Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"49,218","±4,816"
        Private wage and salary workers,88.9%,±2.7
        Government workers,7.4%,±2
        Self-employed workers in own not incorporated business,3.7%,±1.7
        Unpaid family workers,0%,±0.3
