Label,Estimate,Margin of Error
    Workers 16 years and over,"48,480","±4,746"
"        Car, truck, or van - drove alone",65.9%,±4.4
"        Car, truck, or van - carpooled",9%,±2.8
        Public transportation (excluding taxicab),15.3%,±3.1
        Walked,4.7%,±1.7
        Other means,2.4%,±1.2
        Worked at home,2.7%,±1
        Mean travel time to work (minutes),32.5,±1.8
