Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"22,015","±2,396"
"        Nursery school, preschool",5.7%,±2.6
        Kindergarten,9.2%,±3.9
        Elementary school (grades 1-8),33.1%,±5.6
        High school (grades 9-12),17.8%,±4.7
        College or graduate school,34.1%,±5.6
    Male 3 years and over enrolled in school,"10,387","±1,719"
        Percent enrolled in kindergarten to grade 12,65.9%,±7.3
        Percent enrolled in college or graduate school,28.2%,±7.1
    Female 3 years and over enrolled in school,"11,628","±1,554"
        Percent enrolled in kindergarten to grade 12,55.1%,±7.8
        Percent enrolled in college or graduate school,39.3%,±6.9
