Label,Estimate,Margin of Error
    Owner-occupied housing units,"14,724","±1,830"
    Median value (dollars),"244,700","±17,820"
    Median selected monthly owner costs with a mortgage (dollars),"2,130",±128
    Median selected monthly owner costs without a mortgage (dollars),819,±190
