Label,Estimate,Margin of Error
    Occupied housing units,"23,724","±2,363"
    Gas,85.1%,±4.3
    Electricity,14.5%,±4.3
    All other fuels,0.0%,±0.6
    No fuel used,0.5%,±0.4
